,RMSE,MAE,NSE,r,Slope,P99_ratio,FSS_20mm,CSI_20mm,CSI_40mm,POD_20mm,POD_40mm
6_CBAM,9.4248,3.3048,0.1916,0.4571,0.2178,0.4711,0.1803,0.1129,0.0284,0.1356,0.0293
6_CBAM+QM,10.7128,3.9172,-0.0444,0.4333,0.3963,0.9388,0.3123,0.192,0.1072,0.3175,0.1886
6_cGAN,12.4709,4.5338,-0.4153,0.3198,0.3324,1.0809,0.3003,0.1436,0.0749,0.2632,0.1536
7_CBAM,9.624,3.97,0.2028,0.4763,0.2288,0.5737,0.2445,0.1443,0.0513,0.1831,0.0572
7_CBAM+QM,12.1914,4.9211,-0.2793,0.4434,0.3632,1.1496,0.356,0.2017,0.1153,0.3555,0.2284
7_cGAN,13.2318,5.4231,-0.507,0.3446,0.3206,1.1723,0.3449,0.163,0.0751,0.3062,0.1663
8_CBAM,10.1457,4.2314,0.2344,0.5026,0.2185,0.5278,0.2802,0.1726,0.0407,0.2157,0.0434
8_CBAM+QM,11.8201,4.9061,-0.0391,0.472,0.326,1.0289,0.3821,0.2286,0.1371,0.3619,0.2404
8_cGAN,13.041,5.5852,-0.2649,0.3736,0.3068,1.027,0.3847,0.1896,0.0929,0.3419,0.1818
9_CBAM,9.8399,4.1834,0.2125,0.4798,0.2133,0.4588,0.1662,0.1037,0.0122,0.1205,0.0123
9_CBAM+QM,11.2698,4.8985,-0.033,0.4462,0.3176,0.9469,0.3157,0.1863,0.0991,0.3142,0.1729
9_cGAN,13.0013,5.7923,-0.3748,0.3388,0.3172,1.063,0.3415,0.1552,0.0541,0.3093,0.12
10_CBAM,7.3292,2.6261,0.2224,0.4825,0.2028,0.5018,0.1057,0.0765,0.003,0.088,0.003
10_CBAM+QM,9.394,3.4279,-0.2774,0.4439,0.3601,1.2167,0.2491,0.1618,0.0862,0.3187,0.2069
10_cGAN,10.5521,3.8606,-0.6118,0.348,0.3347,1.2801,0.2681,0.1294,0.0537,0.285,0.1452
